Participant;Group;AOI;EventDuration
EMME01;EMME;Source Features;48959.9
EMME02;EMME;Source Features;27558.3
EMME03;EMME;Source Features;21036.8
EMME06;EMME;Source Features;38903.6
EMME08;EMME;Source Features;63225
EMME10;EMME;Source Features;49048.1
EMME12;EMME;Source Features;33465.3
EMME14;EMME;Source Features;43846
EMME16;EMME;Source Features;29533
EMME18;EMME;Source Features;18285.7
EMME20;EMME;Source Features;24792.1
EMME22;EMME;Source Features;51273.7
EMME24;EMME;Source Features;15560.6
EMME26;EMME;Source Features;78715.8
EMME28;EMME;Source Features;42029.5
EMME30;EMME;Source Features;25566.7
EMME32;EMME;Source Features;18683.2
EMME34;EMME;Source Features;34744.5
EMME36;EMME;Source Features;20178.9
EMME40;EMME;Source Features;38566.7
EMME42;EMME;Source Features;64922.3
EMME44;EMME;Source Features;12175.5
EMME46;EMME;Source Features;35346.1
EMME48;EMME;Source Features;35982
EMME50;EMME;Source Features;26984
EMME52;EMME;Source Features;40197.5
EMME54;EMME;Source Features;49342.2
EMME56;EMME;Source Features;29590.5
EMME58;EMME;Source Features;18423
VIDEO04;VIDEO;Source Features;14647.8
VIDEO05;VIDEO;Source Features;18388
VIDEO07;VIDEO;Source Features;19327.3
VIDEO09;VIDEO;Source Features;30245.8
VIDEO11;VIDEO;Source Features;32742.8
VIDEO13;VIDEO;Source Features;45456.4
VIDEO15;VIDEO;Source Features;11863.1
VIDEO17;VIDEO;Source Features;38526.7
VIDEO19;VIDEO;Source Features;100757.2
VIDEO21;VIDEO;Source Features;51351.8
VIDEO23;VIDEO;Source Features;67998.6
VIDEO25;VIDEO;Source Features;29065.3
VIDEO27;VIDEO;Source Features;70067.5
VIDEO29;VIDEO;Source Features;17407.9
VIDEO31;VIDEO;Source Features;36422.8
VIDEO33;VIDEO;Source Features;27474.7
VIDEO35;VIDEO;Source Features;46210.5
VIDEO37;VIDEO;Source Features;27920.6
VIDEO38;VIDEO;Source Features;73006.2
VIDEO39;VIDEO;Source Features;95785.1
VIDEO41;VIDEO;Source Features;50230.9
VIDEO45;VIDEO;Source Features;62149.2
VIDEO47;VIDEO;Source Features;56627.1
VIDEO49;VIDEO;Source Features;86211.1
VIDEO51;VIDEO;Source Features;16789.1
VIDEO53;VIDEO;Source Features;19173.6
VIDEO55;VIDEO;Source Features;21804.2
VIDEO57;VIDEO;Source Features;56973.2
EMME01;EMME;Irrelevant Pages;395752.6
EMME02;EMME;Irrelevant Pages;213748
EMME03;EMME;Irrelevant Pages;66765.1
EMME06;EMME;Irrelevant Pages;199332.9
EMME08;EMME;Irrelevant Pages;74059.4
EMME10;EMME;Irrelevant Pages;191099.8
EMME12;EMME;Irrelevant Pages;187697.1
EMME14;EMME;Irrelevant Pages;316095.7
EMME16;EMME;Irrelevant Pages;121702.7
EMME18;EMME;Irrelevant Pages;201195.1
EMME20;EMME;Irrelevant Pages;261346.4
EMME22;EMME;Irrelevant Pages;355241.3
EMME24;EMME;Irrelevant Pages;131098.8
EMME26;EMME;Irrelevant Pages;364166.2
EMME28;EMME;Irrelevant Pages;204489.1
EMME30;EMME;Irrelevant Pages;141353.6
EMME32;EMME;Irrelevant Pages;124914.6
EMME34;EMME;Irrelevant Pages;313362.6
EMME36;EMME;Irrelevant Pages;86653.9
EMME40;EMME;Irrelevant Pages;369868.3
EMME42;EMME;Irrelevant Pages;293295.2
EMME44;EMME;Irrelevant Pages;154593.7
EMME46;EMME;Irrelevant Pages;245482.4
EMME48;EMME;Irrelevant Pages;301146.4
EMME50;EMME;Irrelevant Pages;63454.3
EMME52;EMME;Irrelevant Pages;230047
EMME54;EMME;Irrelevant Pages;267426.4
EMME56;EMME;Irrelevant Pages;386698.9
EMME58;EMME;Irrelevant Pages;247063.6
VIDEO04;VIDEO;Irrelevant Pages;87229
VIDEO05;VIDEO;Irrelevant Pages;264145.1
VIDEO07;VIDEO;Irrelevant Pages;38237.6
VIDEO09;VIDEO;Irrelevant Pages;130324.4
VIDEO11;VIDEO;Irrelevant Pages;166274.2
VIDEO13;VIDEO;Irrelevant Pages;307607.5
VIDEO15;VIDEO;Irrelevant Pages;157284
VIDEO17;VIDEO;Irrelevant Pages;269811
VIDEO19;VIDEO;Irrelevant Pages;355494.8
VIDEO21;VIDEO;Irrelevant Pages;446047.7
VIDEO23;VIDEO;Irrelevant Pages;547474.1
VIDEO25;VIDEO;Irrelevant Pages;185207.7
VIDEO27;VIDEO;Irrelevant Pages;279678.6
VIDEO29;VIDEO;Irrelevant Pages;316978.4
VIDEO31;VIDEO;Irrelevant Pages;288282.7
VIDEO33;VIDEO;Irrelevant Pages;463319.6
VIDEO35;VIDEO;Irrelevant Pages;290826.7
VIDEO37;VIDEO;Irrelevant Pages;190422.8
VIDEO38;VIDEO;Irrelevant Pages;645785.6
VIDEO39;VIDEO;Irrelevant Pages;580672.5
VIDEO41;VIDEO;Irrelevant Pages;311028.1
VIDEO45;VIDEO;Irrelevant Pages;312968.3
VIDEO47;VIDEO;Irrelevant Pages;399103.2
VIDEO49;VIDEO;Irrelevant Pages;487804.3
VIDEO51;VIDEO;Irrelevant Pages;230145.2
VIDEO53;VIDEO;Irrelevant Pages;318901.7
VIDEO55;VIDEO;Irrelevant Pages;308606.1
VIDEO57;VIDEO;Irrelevant Pages;270357.2
EMME01;EMME;Relevant Pages;351410.4
EMME02;EMME;Relevant Pages;176465.6
EMME03;EMME;Relevant Pages;261304.2
EMME06;EMME;Relevant Pages;265847
EMME08;EMME;Relevant Pages;377803.6
EMME10;EMME;Relevant Pages;283852.2
EMME12;EMME;Relevant Pages;296881.8
EMME14;EMME;Relevant Pages;316384.3
EMME16;EMME;Relevant Pages;350093.8
EMME18;EMME;Relevant Pages;295652.1
EMME20;EMME;Relevant Pages;255121.6
EMME22;EMME;Relevant Pages;356512.6
EMME24;EMME;Relevant Pages;166479.3
EMME26;EMME;Relevant Pages;398069.7
EMME28;EMME;Relevant Pages;265103.3
EMME30;EMME;Relevant Pages;223267.5
EMME32;EMME;Relevant Pages;196688.9
EMME34;EMME;Relevant Pages;312754.4
EMME36;EMME;Relevant Pages;148843.2
EMME40;EMME;Relevant Pages;400764.1
EMME42;EMME;Relevant Pages;269626.2
EMME44;EMME;Relevant Pages;188291.5
EMME46;EMME;Relevant Pages;246187.8
EMME48;EMME;Relevant Pages;390493.2
EMME50;EMME;Relevant Pages;219322
EMME52;EMME;Relevant Pages;247106.2
EMME54;EMME;Relevant Pages;284157.1
EMME56;EMME;Relevant Pages;394583.4
EMME58;EMME;Relevant Pages;243764.2
VIDEO04;VIDEO;Relevant Pages;76202.9
VIDEO05;VIDEO;Relevant Pages;83312.2
VIDEO07;VIDEO;Relevant Pages;58830.6
VIDEO09;VIDEO;Relevant Pages;146888.9
VIDEO11;VIDEO;Relevant Pages;223877.8
VIDEO13;VIDEO;Relevant Pages;314239.9
VIDEO15;VIDEO;Relevant Pages;161251.6
VIDEO17;VIDEO;Relevant Pages;293783.9
VIDEO19;VIDEO;Relevant Pages;399516.3
VIDEO21;VIDEO;Relevant Pages;418283.3
VIDEO23;VIDEO;Relevant Pages;622200.2
VIDEO25;VIDEO;Relevant Pages;301518.3
VIDEO27;VIDEO;Relevant Pages;380631.2
VIDEO29;VIDEO;Relevant Pages;322361.9
